scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,WIN
2001-10-07 20:15:16,TB,14.0,GB,10.0,TB
2001-10-07 17:04:24,NYG,23.0,WAS,9.0,NYG
2001-10-07 19:31:30,PIT,16.0,CIN,7.0,PIT
2001-10-07 17:02:35,CLE,20.0,SD,16.0,CLE
2001-10-14 17:04:35,ATL,31.0,SF,37.0,SF
2001-10-14 20:16:55,SEA,34.0,DEN,21.0,SEA
2001-10-14 17:03:33,GB,31.0,BAL,23.0,GB
2001-10-14 23:36:05,IND,18.0,OAK,23.0,OAK
2001-10-14 20:15:40,NYJ,21.0,MIA,17.0,NYJ
2001-10-16 01:08:19,DAL,9.0,WAS,7.0,DAL
2001-10-14 17:04:18,MIN,31.0,DET,26.0,MIN
2001-10-14 17:04:04,CHI,20.0,ARI,13.0,CHI
2001-10-14 17:02:58,NE,29.0,SD,26.0,NE
2001-10-14 17:04:00,TEN,31.0,TB,28.0,TEN
2001-10-14 17:03:01,STL,15.0,NYG,14.0,STL
2001-10-14 17:03:45,CAR,25.0,NO,27.0,NO
2001-10-14 17:03:10,KC,17.0,PIT,20.0,PIT
2001-10-14 17:02:37,CIN,24.0,CLE,14.0,CIN
2001-10-21 17:03:27,WAS,17.0,CAR,14.0,WAS
2001-10-23 01:06:54,NYG,9.0,PHI,10.0,PHI
2001-10-21 17:02:23,CIN,0.0,CHI,24.0,CHI
2001-10-21 17:03:19,NYJ,14.0,STL,34.0,STL
2001-10-21 19:05:55,ARI,24.0,KC,16.0,ARI
2001-10-21 16:02:20,IND,17.0,NE,38.0,NE
2001-10-21 17:02:19,CLE,24.0,BAL,14.0,CLE
2001-10-19 00:36:32,JAC,10.0,BUF,13.0,BUF
2001-10-21 17:02:19,TB,10.0,PIT,17.0,PIT
2001-10-21 20:04:36,SD,27.0,DEN,10.0,SD
2001-10-21 17:03:39,NO,13.0,ATL,20.0,ATL
2001-10-21 17:04:25,DET,24.0,TEN,27.0,TEN
2001-10-21 20:18:02,MIN,35.0,GB,13.0,MIN
2001-10-28 18:01:54,CAR,12.0,NYJ,13.0,NYJ
2001-10-28 18:02:47,DET,27.0,CIN,31.0,CIN
2001-10-28 18:03:31,STL,31.0,NO,34.0,NO
2001-10-30 02:09:40,PIT,34.0,TEN,7.0,PIT
2001-10-28 18:02:38,TB,41.0,MIN,14.0,TB
2001-10-28 21:15:30,SD,27.0,BUF,24.0,SD
2001-10-26 00:34:10,KC,28.0,IND,35.0,IND
2001-10-28 21:15:07,DEN,31.0,NE,20.0,DEN
2001-10-28 21:04:28,DAL,17.0,ARI,3.0,DAL
2001-10-28 18:02:22,CHI,37.0,SF,31.0,CHI
2001-10-28 21:15:23,PHI,10.0,OAK,20.0,OAK
2001-10-28 21:15:35,SEA,20.0,MIA,24.0,MIA
2001-10-28 21:05:58,WAS,35.0,NYG,21.0,WAS
2001-10-28 18:02:27,BAL,18.0,JAC,17.0,BAL
2001-11-04 18:03:22,NYG,27.0,DAL,24.0,NYG
2001-11-04 18:03:39,TEN,28.0,JAC,24.0,TEN
2001-11-04 21:15:40,CHI,27.0,CLE,21.0,CHI
2001-11-04 18:01:47,GB,21.0,TB,20.0,GB
2001-11-04 18:01:48,ATL,10.0,NE,24.0,NE
2001-11-05 01:37:50,NO,9.0,NYJ,16.0,NYJ
2001-11-04 21:05:23,SF,21.0,DET,13.0,SF
2001-11-05 08:00:00,OAK,38.0,DEN,28.0,OAK
2001-11-04 18:03:10,PIT,10.0,BAL,13.0,BAL
2001-11-04 18:01:44,MIA,23.0,CAR,6.0,MIA
2001-11-04 21:15:46,WAS,27.0,SEA,14.0,WAS
2001-11-04 21:14:52,SD,20.0,KC,25.0,KC
2001-11-04 18:01:28,BUF,14.0,IND,30.0,IND
2001-11-04 21:19:42,ARI,7.0,PHI,21.0,PHI
2001-11-11 18:04:19,NYJ,27.0,KC,7.0,NYJ
2001-11-11 18:03:49,DET,17.0,TB,20.0,TB
2001-11-13 02:10:10,TEN,10.0,BAL,16.0,BAL
2001-11-11 21:18:11,ARI,10.0,NYG,17.0,NYG
2001-11-11 18:03:34,CHI,12.0,GB,20.0,GB
2001-11-11 18:02:35,IND,24.0,MIA,27.0,MIA
2001-11-11 21:05:46,DEN,26.0,SD,16.0,DEN
2001-11-11 18:03:14,JAC,30.0,CIN,13.0,JAC
2001-11-11 18:02:41,NE,21.0,BUF,11.0,NE
2001-11-11 18:03:02,STL,48.0,CAR,14.0,STL
2001-11-12 01:37:01,SEA,34.0,OAK,27.0,SEA
2001-11-11 18:03:01,CLE,12.0,PIT,15.0,PIT
2001-11-11 21:16:03,PHI,48.0,MIN,17.0,PHI
2001-11-11 18:04:21,ATL,20.0,DAL,13.0,ATL
2001-11-11 21:16:07,SF,28.0,NO,27.0,SF
2001-11-18 18:02:46,BUF,20.0,SEA,23.0,SEA
2001-11-18 21:16:32,ARI,45.0,DET,38.0,ARI
2001-11-19 01:36:55,NE,17.0,STL,24.0,STL
2001-11-18 21:06:30,PIT,20.0,JAC,7.0,PIT
2001-11-18 21:30:45,TB,24.0,CHI,27.0,CHI
2001-11-18 18:02:20,GB,20.0,ATL,23.0,ATL
2001-11-18 18:02:39,MIA,0.0,NYJ,24.0,NYJ
2001-11-18 18:02:43,CIN,7.0,TEN,20.0,TEN
2001-11-18 08:00:00,OAK,34.0,SD,24.0,OAK
2001-11-20 02:08:37,MIN,28.0,NYG,16.0,MIN
2001-11-18 18:02:42,DAL,3.0,PHI,36.0,PHI
2001-11-18 18:02:37,NO,34.0,IND,20.0,NO
2001-11-18 18:03:13,BAL,17.0,CLE,27.0,CLE
2001-11-18 18:03:02,CAR,22.0,SF,25.0,SF
2001-11-18 21:15:33,DEN,10.0,WAS,17.0,WAS
2001-11-25 18:02:34,CAR,7.0,ATL,10.0,ATL
2001-11-22 17:36:40,DET,27.0,GB,29.0,GB
2001-11-25 18:03:19,PHI,3.0,WAS,13.0,WAS
2001-11-25 21:04:43,NE,34.0,NO,17.0,NE
2001-11-25 18:03:05,KC,19.0,SEA,7.0,KC
2001-11-27 02:08:36,STL,17.0,TB,24.0,TB
2001-11-25 21:16:20,JAC,21.0,BAL,24.0,BAL
2001-11-25 21:16:15,NYG,10.0,OAK,28.0,OAK
2001-11-25 18:02:48,CLE,18.0,CIN,0.0,CLE
2001-11-25 18:04:33,TEN,24.0,PIT,34.0,PIT
2001-11-25 18:03:43,IND,21.0,SF,40.0,SF
2001-11-26 01:36:55,MIN,6.0,CHI,13.0,CHI
2001-11-25 21:05:38,SD,17.0,ARI,20.0,ARI
2001-11-22 21:16:10,DAL,24.0,DEN,26.0,DEN
2001-11-25 18:03:31,BUF,27.0,MIA,34.0,MIA
2001-12-02 18:02:58,BAL,39.0,IND,27.0,BAL
2001-12-02 18:03:17,NO,27.0,CAR,23.0,NO
2001-11-30 01:38:32,KC,10.0,PHI,23.0,PHI
2001-12-02 18:02:27,CLE,15.0,TEN,31.0,TEN
2001-12-02 18:02:48,CIN,13.0,TB,16.0,TB
2001-12-02 18:02:00,MIA,21.0,DEN,10.0,MIA
2001-12-02 18:04:22,CHI,13.0,DET,10.0,CHI
2001-12-02 08:00:00,OAK,31.0,ARI,34.0,ARI
2001-12-03 01:33:53,SF,35.0,BUF,0.0,SF
2001-12-02 18:03:25,NYJ,16.0,NE,17.0,NE
2001-12-02 21:05:29,SEA,13.0,SD,10.0,SEA
2001-12-04 02:08:11,JAC,21.0,GB,28.0,GB
2001-12-02 18:04:14,PIT,21.0,MIN,16.0,PIT
2001-12-02 21:15:40,ATL,6.0,STL,35.0,STL
2001-12-03 05:04:15,WAS,14.0,DAL,20.0,DAL
2001-12-10 01:36:01,DEN,20.0,SEA,7.0,DEN
2001-12-09 18:03:34,MIN,42.0,TEN,24.0,MIN
2001-12-09 18:03:51,TB,15.0,DET,12.0,TB
2001-12-09 21:17:01,PIT,18.0,NYJ,7.0,PIT
2001-12-09 18:03:21,PHI,24.0,SD,14.0,PHI
2001-12-09 18:03:09,STL,27.0,SF,14.0,STL
2001-12-09 21:07:34,ARI,10.0,WAS,20.0,WAS
2001-12-09 08:00:00,OAK,28.0,KC,26.0,OAK
2001-12-09 18:03:15,ATL,10.0,NO,28.0,NO
