,Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat,lon,full_address
6469,2015-07-03 10:00:00,10H50,Theft,convenience store,1,10,3,Friday,Jul,2015,29.741674600000003,-95.359546,"2050 Emancipation Ave, Houston, TX 77003, USA"
6470,2015-07-03 14:00:00,10H50,Theft,road/street/sidewalk,1,14,3,Friday,Jul,2015,29.738913099999998,-95.4140143,"2250 W Alabama St, Houston, TX 77098, USA"
6471,2015-07-04 09:00:00,10H50,Theft,road/street/sidewalk,1,9,4,Saturday,Jul,2015,29.731292100000005,-95.3567801,"3150 Rosalie St, Houston, TX 77004, USA"
6472,2015-07-05 10:00:00,10H50,Theft,road/street/sidewalk,1,10,5,Sunday,Jul,2015,29.728613899999996,-95.346785,"3050 Callie St, Houston, TX 77004, USA"
6473,2015-07-07 14:00:00,10H50,Robbery,restaurant/cafeteria parking lot,1,14,7,Tuesday,Jul,2015,29.7249865,-95.3507349,"3450 Scott St, Houston, TX 77004, USA"
6474,2015-07-07 15:00:00,10H50,Theft,convenience store,1,15,7,Tuesday,Jul,2015,29.725444,-95.3608383,"3250 Truxillo St, Houston, TX 77004, USA"
6475,2015-07-08 01:00:00,10H50,Theft,no label,1,1,8,Wednesday,Jul,2015,29.7300076,-95.350251,"3450 Anita St, Houston, TX 77004, USA"
6476,2015-07-08 01:00:00,10H50,Theft,no label,1,1,8,Wednesday,Jul,2015,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
6477,2015-07-08 01:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,1,8,Wednesday,Jul,2015,29.7300076,-95.350251,"3450 Anita St, Houston, TX 77004, USA"
6478,2015-07-08 01:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,1,8,Wednesday,Jul,2015,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
6479,2015-07-08 10:00:00,10H50,Theft,service or gas station,1,10,8,Wednesday,Jul,2015,29.727545000000003,-95.3502156,"3550 Elgin St, Houston, TX 77004, USA"
6480,2015-07-08 20:00:00,10H50,Aggravated Assault,residence/house,2,20,8,Wednesday,Jul,2015,29.736225899999997,-95.3546248,"2350 Burkett St, Houston, TX 77004, USA"
6481,2015-07-09 16:00:00,10H50,Robbery,road/street/sidewalk,1,16,9,Thursday,Jul,2015,29.73277879999999,-95.3491363,"3450 McGowen St, Houston, TX 77004, USA"
6482,2015-07-10 09:00:00,10H50,Theft,bar or night club parking lot,1,9,10,Friday,Jul,2015,29.7422315,-95.3592257,"2350 Pierce St, Houston, TX 77003, USA"
6483,2015-07-11 00:00:00,10H50,Theft,road/street/sidewalk,1,0,11,Saturday,Jul,2015,29.7309338,-95.36803990000001,"3750 Emancipation Ave, Houston, TX 77004, USA"
6484,2015-07-11 13:00:00,10H50,Robbery,miscellaneous business (non-specific),1,13,11,Saturday,Jul,2015,29.730281599999998,-95.3581776,"3350 Velasco St, Houston, TX 77004, USA"
6485,2015-07-11 20:00:00,10H50,Theft,road/street/sidewalk,1,20,11,Saturday,Jul,2015,29.731658000000003,-95.3499998,"2750 Napoleon St, Houston, TX 77004, USA"
6486,2015-07-12 19:00:00,10H50,Aggravated Assault,road/street/sidewalk,2,19,12,Sunday,Jul,2015,29.7270534,-95.3603884,"3650 Briley St, Houston, TX 77004, USA"
6487,2015-07-12 19:00:00,10H50,Aggravated Assault,road/street/sidewalk,2,19,12,Sunday,Jul,2015,29.738548600000005,-95.42715759999999,"3250 W Alabama St, Houston, TX 77098, USA"
6488,2015-07-12 19:00:00,10H50,Burglary,residence/house,1,19,12,Sunday,Jul,2015,29.7270534,-95.3603884,"3650 Briley St, Houston, TX 77004, USA"
6489,2015-07-12 19:00:00,10H50,Burglary,residence/house,1,19,12,Sunday,Jul,2015,29.738548600000005,-95.42715759999999,"3250 W Alabama St, Houston, TX 77098, USA"
6490,2015-07-12 20:00:00,10H50,Rape,road/street/sidewalk,1,20,12,Sunday,Jul,2015,29.731292100000005,-95.3567801,"3150 Rosalie St, Houston, TX 77004, USA"
6491,2015-07-13 19:00:00,10H50,Theft,residence/house,1,19,13,Monday,Jul,2015,29.731669,-95.3455824,"2550 Callie St, Houston, TX 77004, USA"
6492,2015-07-14 00:00:00,10H50,Robbery,restaurant or cafeteria,1,0,14,Tuesday,Jul,2015,29.722440600000002,-95.35197070000001,"3750 Scott St, Houston, TX 77004, USA"
6493,2015-07-14 09:00:00,10H50,Burglary,residence/house,1,9,14,Tuesday,Jul,2015,29.7373761,-95.3530729,"3150 Webster St, Houston, TX 77004, USA"
6494,2015-07-14 09:00:00,10H50,Burglary,residence/house,1,9,14,Tuesday,Jul,2015,29.7374657,-95.367222,"2950 Chartres St, Houston, TX 77004, USA"
6495,2015-07-14 09:00:00,10H50,Burglary,residence/house,1,9,14,Tuesday,Jul,2015,29.7373761,-95.3530729,"3150 Webster St, Houston, TX 77004, USA"
6496,2015-07-14 09:00:00,10H50,Burglary,residence/house,1,9,14,Tuesday,Jul,2015,29.7374657,-95.367222,"2950 Chartres St, Houston, TX 77004, USA"
6497,2015-07-14 17:00:00,10H50,Theft,road/street/sidewalk,1,17,14,Tuesday,Jul,2015,29.7353689,-95.3529064,"3250 McIlhenny St, Houston, TX 77004, USA"
6498,2015-07-14 22:00:00,10H50,Theft,grocery store or supermarket parking lot,1,22,14,Tuesday,Jul,2015,29.735991600000002,-95.3638222,"2950 Emancipation Ave, Houston, TX 77004, USA"
6499,2015-07-15 22:00:00,10H50,Robbery,road/street/sidewalk,1,22,15,Wednesday,Jul,2015,29.7323898,-95.3521139,"2750 Sampson St, Houston, TX 77004, USA"
6500,2015-07-16 19:00:00,10H50,Theft,residence/house,1,19,16,Thursday,Jul,2015,29.7290311,-95.35098620000001,"3150 Napoleon St, Houston, TX 77004, USA"
6501,2015-07-16 21:00:00,10H50,Aggravated Assault,road/street/sidewalk,3,21,16,Thursday,Jul,2015,29.729537,-95.3463881,"3750 Tuam St, Houston, TX 77004, USA"
6502,2015-07-17 14:00:00,10H50,Auto Theft,restaurant/cafeteria parking lot,1,14,17,Friday,Jul,2015,29.727564,-95.3483912,"3650 Elgin St, Houston, TX 77004, USA"
6503,2015-07-17 16:00:00,10H50,Theft,"other, unknown, or not listed",1,16,17,Friday,Jul,2015,29.726373300000002,-95.3524099,"3450 Reeves St, Houston, TX 77004, USA"
6504,2015-07-18 09:00:00,10H50,Theft,restaurant/cafeteria parking lot,1,9,18,Saturday,Jul,2015,29.727373699999998,-95.3445337,"4050 Elgin St, Houston, TX 77204, USA"
6505,2015-07-18 10:00:00,10H50,Theft,residence/house,1,10,18,Saturday,Jul,2015,29.729234899999998,-95.3476603,"3650 Anita St, Houston, TX 77004, USA"
6506,2015-07-19 20:00:00,10H50,Aggravated Assault,road/street/sidewalk,1,20,19,Sunday,Jul,2015,29.7308407,-95.36550550000001,"2550 Berry St, Houston, TX 77004, USA"
6507,2015-07-20 14:00:00,10H50,Auto Theft,apartment parking lot,1,14,20,Monday,Jul,2015,29.726003499999997,-95.35488740000001,"3350 Holman St, Houston, TX 77004, USA"
6508,2015-07-20 21:00:00,10H50,Robbery,road/street/sidewalk,1,21,20,Monday,Jul,2015,29.731936199999996,-95.36591429999999,"2450 Holman St, Houston, TX 77004, USA"
6509,2015-07-20 21:00:00,10H50,Robbery,road/street/sidewalk,1,21,20,Monday,Jul,2015,29.7329132,-95.3477603,"3550 Bremond St, Houston, TX 77004, USA"
6510,2015-07-20 21:00:00,10H50,Burglary,residence/house,1,21,20,Monday,Jul,2015,29.731936199999996,-95.36591429999999,"2450 Holman St, Houston, TX 77004, USA"
6511,2015-07-20 21:00:00,10H50,Burglary,residence/house,1,21,20,Monday,Jul,2015,29.7329132,-95.3477603,"3550 Bremond St, Houston, TX 77004, USA"
6512,2015-07-22 00:00:00,10H50,Auto Theft,road/street/sidewalk,1,0,22,Wednesday,Jul,2015,29.738880699999996,-95.41736359999999,"2450 W Alabama St, Houston, TX 77098, USA"
6513,2015-07-22 08:00:00,10H50,Theft,residence/house,1,8,22,Wednesday,Jul,2015,29.727216499999997,-95.3584618,"3550 Burkett St, Houston, TX 77004, USA"
6514,2015-07-23 07:00:00,10H50,Theft,residence/house,1,7,23,Thursday,Jul,2015,29.726190999999996,-95.3625313,"3050 Truxillo St, Houston, TX 77004, USA"
6515,2015-07-24 02:00:00,10H50,Theft,road/street/sidewalk,1,2,24,Friday,Jul,2015,29.7408211,-95.3615653,"2250 Bastrop St, Houston, TX 77003, USA"
6516,2015-07-24 20:00:00,10H50,Burglary,residence/house,1,20,24,Friday,Jul,2015,29.7328294,-95.3691146,"2150 Berry St, Houston, TX 77004, USA"
