scheduled,home.alias,scoring.home_points,away.alias,scoring.away_points,winner
2009-10-25 17:02:50,CLE,3.0,GB,31.0,GB
2009-10-25 17:03:08,PIT,27.0,MIN,17.0,PIT
2009-10-25 17:04:41,HOU,24.0,SF,21.0,HOU
2009-10-25 17:06:11,KC,7.0,SD,37.0,SD
2009-10-25 17:06:32,TB,7.0,NE,35.0,NE
2009-10-25 18:06:14,STL,6.0,IND,42.0,IND
2009-10-25 20:05:34,OAK,0.0,NYJ,38.0,NYJ
2009-10-25 20:06:21,CAR,9.0,BUF,20.0,BUF
2009-10-25 20:15:25,MIA,34.0,NO,46.0,NO
2009-10-25 20:15:47,DAL,37.0,ATL,21.0,DAL
2009-10-25 20:16:12,CIN,45.0,CHI,10.0,CIN
2009-10-26 00:30:51,NYG,17.0,ARI,24.0,ARI
2009-10-27 01:41:00,WAS,17.0,PHI,27.0,PHI
2009-11-01 18:02:32,BUF,10.0,HOU,31.0,HOU
2009-11-01 18:02:32,CHI,30.0,CLE,6.0,CHI
2009-11-01 18:02:49,NYJ,25.0,MIA,30.0,MIA
2009-11-01 18:02:55,IND,18.0,SF,14.0,IND
2009-11-01 18:03:08,DET,10.0,STL,17.0,STL
2009-11-01 18:03:08,PHI,40.0,NYG,17.0,PHI
2009-11-01 18:03:23,BAL,30.0,DEN,7.0,BAL
2009-11-01 18:03:34,DAL,38.0,SEA,17.0,DAL
2009-11-01 21:05:44,SD,24.0,OAK,16.0,SD
2009-11-01 21:05:56,TEN,30.0,JAC,13.0,TEN
2009-11-01 21:15:51,GB,26.0,MIN,38.0,MIN
2009-11-01 21:15:52,ARI,21.0,CAR,34.0,CAR
2009-11-03 01:40:47,NO,35.0,ATL,27.0,NO
2009-11-08 18:02:30,IND,20.0,HOU,17.0,IND
2009-11-08 18:02:31,NE,27.0,MIA,17.0,NE
2009-11-08 18:02:45,CIN,17.0,BAL,7.0,CIN
2009-11-08 18:03:00,TB,38.0,GB,28.0,TB
2009-11-08 18:03:10,CHI,21.0,ARI,41.0,ARI
2009-11-08 18:04:03,JAC,24.0,KC,21.0,JAC
2009-11-08 18:04:55,ATL,31.0,WAS,17.0,ATL
2009-11-08 21:05:19,NO,30.0,CAR,20.0,NO
2009-11-08 21:05:56,SEA,32.0,DET,20.0,SEA
2009-11-08 21:14:22,SF,27.0,TEN,34.0,TEN
2009-11-08 21:15:49,NYG,20.0,SD,21.0,SD
2009-11-09 01:31:08,PHI,16.0,DAL,20.0,DAL
2009-11-10 01:41:07,DEN,10.0,PIT,28.0,PIT
2009-11-13 01:20:45,SF,10.0,CHI,6.0,SF
2009-11-15 18:02:39,WAS,27.0,DEN,17.0,WAS
2009-11-15 18:02:46,TEN,41.0,BUF,17.0,TEN
2009-11-15 18:02:46,NYJ,22.0,JAC,24.0,JAC
2009-11-15 18:02:48,PIT,12.0,CIN,18.0,CIN
2009-11-15 18:02:59,MIN,27.0,DET,10.0,MIN
2009-11-15 18:03:16,MIA,25.0,TB,23.0,MIA
2009-11-15 18:03:39,STL,23.0,NO,28.0,NO
2009-11-15 18:04:26,CAR,28.0,ATL,19.0,CAR
2009-11-15 21:06:10,OAK,10.0,KC,16.0,KC
2009-11-15 21:15:34,GB,17.0,DAL,7.0,GB
2009-11-15 21:15:37,SD,31.0,PHI,23.0,SD
2009-11-15 21:15:47,ARI,31.0,SEA,20.0,ARI
2009-11-16 01:31:07,IND,35.0,NE,34.0,IND
2009-11-17 01:40:48,CLE,0.0,BAL,16.0,BAL
2009-11-20 01:21:30,CAR,17.0,MIA,24.0,MIA
2009-11-22 18:02:32,MIN,35.0,SEA,9.0,MIN
2009-11-22 18:02:35,DET,38.0,CLE,37.0,DET
2009-11-22 18:02:41,KC,27.0,PIT,24.0,KC
2009-11-22 18:02:54,TB,7.0,NO,38.0,NO
2009-11-22 18:02:58,JAC,18.0,BUF,15.0,JAC
2009-11-22 18:03:03,DAL,7.0,WAS,6.0,DAL
2009-11-22 18:03:27,GB,30.0,SF,24.0,GB
2009-11-22 18:03:28,NYG,34.0,ATL,31.0,NYG
2009-11-22 18:03:35,BAL,15.0,IND,17.0,IND
2009-11-22 21:05:20,STL,13.0,ARI,21.0,ARI
2009-11-22 21:15:29,DEN,3.0,SD,32.0,SD
2009-11-22 21:15:29,OAK,20.0,CIN,17.0,OAK
2009-11-22 21:15:54,NE,31.0,NYJ,14.0,NE
2009-11-23 01:30:42,CHI,20.0,PHI,24.0,PHI
2009-11-24 01:40:45,HOU,17.0,TEN,20.0,TEN
2009-11-26 17:35:33,DET,12.0,GB,34.0,GB
2009-11-26 21:15:47,DAL,24.0,OAK,7.0,DAL
2009-11-27 01:21:18,DEN,26.0,NYG,6.0,DEN
2009-11-29 18:02:14,HOU,27.0,IND,35.0,IND
2009-11-29 18:02:15,NYJ,17.0,CAR,6.0,NYJ
2009-11-29 18:02:39,BUF,31.0,MIA,14.0,BUF
2009-11-29 18:02:40,CIN,16.0,CLE,7.0,CIN
2009-11-29 18:03:05,STL,17.0,SEA,27.0,SEA
2009-11-29 18:03:20,ATL,20.0,TB,17.0,ATL
2009-11-29 18:03:23,PHI,27.0,WAS,24.0,PHI
2009-11-29 21:05:36,SD,43.0,KC,14.0,SD
2009-11-29 21:05:37,SF,20.0,JAC,3.0,SF
2009-11-29 21:15:24,MIN,36.0,CHI,10.0,MIN
