Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-03-03 00:00:00,10H30,Theft,road/street/sidewalk,1,0,3,Wednesday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,road/street/sidewalk,1,0,3,Wednesday,Mar,2010,"(29.7492849, -95.3574047)","1250 St Emanuel St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,road/street/sidewalk,1,0,3,Wednesday,Mar,2010,"(29.750029, -95.35416699999999)","2250 McKinney St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,road/street/sidewalk,1,0,3,Wednesday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,road/street/sidewalk,1,0,3,Wednesday,Mar,2010,"(29.7492849, -95.3574047)","1250 St Emanuel St, Houston, TX 77003, USA"
2010-03-03 00:00:00,10H30,Theft,road/street/sidewalk,1,0,3,Wednesday,Mar,2010,"(29.750029, -95.35416699999999)","2250 McKinney St, Houston, TX 77003, USA"
2010-03-03 16:00:00,10H30,Theft,bar/night club parking lot,1,16,3,Wednesday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-04 15:00:00,10H30,Robbery,commercial parking lot/garage,1,15,4,Thursday,Mar,2010,"(29.7536373, -95.354855)","750 Chartres St, Houston, TX 77003, USA"
2010-03-05 13:00:00,10H30,Theft,road/street/sidewalk,1,13,5,Friday,Mar,2010,"(29.7511974, -95.3517481)","2350 Rusk St, Houston, TX 77003, USA"
2010-03-06 10:00:00,10H30,Theft,apartment parking lot,1,10,6,Saturday,Mar,2010,"(29.7488265, -95.35544519999999)","2250 Dallas St, Houston, TX 77003, USA"
2010-03-06 20:00:00,10H30,Robbery,bar/night club parking lot,1,20,6,Saturday,Mar,2010,"(29.7485764, -95.35152880000001)","2550 McKinney St, Houston, TX 77003, USA"
2010-03-06 22:00:00,10H30,Aggravated Assault,social services/public charities,1,22,6,Saturday,Mar,2010,"(29.753877, -95.3496449)","450 Emancipation Ave, Houston, TX 77003, USA"
2010-03-06 23:00:00,10H30,Theft,road/street/sidewalk,1,23,6,Saturday,Mar,2010,"(29.74770119999999, -95.3573857)","2150 Clay St, Houston, TX 77003, USA"
2010-03-07 00:00:00,10H30,Theft,road/street/sidewalk,1,0,7,Sunday,Mar,2010,"(29.7506861, -95.3561113)","1050 St Emanuel St, Houston, TX 77003, USA"
2010-03-08 17:00:00,10H30,Theft,other/unknown,1,17,8,Monday,Mar,2010,"(29.7463207, -95.3482399)","2950 McKinney St, Houston, TX 77003, USA"
2010-03-09 09:00:00,10H30,Theft,other/unknown,1,9,9,Tuesday,Mar,2010,"(29.753877, -95.3496449)","450 Emancipation Ave, Houston, TX 77003, USA"
2010-03-10 21:00:00,10H30,Theft,apartment parking lot,1,21,10,Wednesday,Mar,2010,"(29.7488265, -95.35544519999999)","2250 Dallas St, Houston, TX 77003, USA"
