,Hour,OffenseType_Aggravated Assault,OffenseType_Auto Theft,OffenseType_Burglary,OffenseType_Murder,OffenseType_Rape,OffenseType_Robbery,OffenseType_Theft,game
2010-10-17,23,0,0,1,0,0,0,0,No Game
2010-10-18,9,0,0,0,0,0,0,1,No Game
2010-10-18,15,0,0,0,0,0,0,1,No Game
2010-10-19,17,0,0,0,0,0,0,1,No Game
2010-10-19,21,0,0,0,0,0,0,1,No Game
2010-10-19,23,0,0,0,0,0,0,1,No Game
2010-10-20,2,0,0,1,0,0,0,0,No Game
2010-10-21,17,0,0,0,0,0,0,1,No Game
2010-10-21,23,0,0,0,0,0,1,0,No Game
2010-10-22,23,0,0,0,0,0,0,1,No Game
2010-10-23,3,0,0,1,0,0,0,0,No Game
2010-10-23,22,0,0,0,0,0,0,1,No Game
2010-10-23,23,0,0,0,0,0,0,1,No Game
2010-10-24,16,0,0,0,0,0,0,1,No Game
2010-10-24,19,0,0,0,0,0,0,1,No Game
