date,team,opponent,tm,opp,win_lost,season
2016-01-07,Houston Rockets,Utah Jazz,103,94,W,regular
2016-01-10,Houston Rockets,Indiana Pacers,107,103,W,regular
2016-01-13,Houston Rockets,Minnesota Timberwolves,107,104,W,regular
2016-01-15,Houston Rockets,Cleveland Cavaliers,77,91,L,regular
2016-01-20,Houston Rockets,Detroit Pistons,114,123,L,regular
2016-01-22,Houston Rockets,Milwaukee Bucks,102,98,W,regular
2016-01-24,Houston Rockets,Dallas Mavericks,115,104,W,regular
2016-01-30,Houston Rockets,Washington Wizards,122,123,L,regular
2016-02-02,Houston Rockets,Miami Heat,115,102,W,regular
2016-02-06,Houston Rockets,Portland Trail Blazers,79,96,L,regular
2016-02-27,Houston Rockets,San Antonio Spurs,94,104,L,regular
2016-03-02,Houston Rockets,New Orleans Pelicans,100,95,W,regular
2016-03-14,Houston Rockets,Memphis Grizzlies,130,81,W,regular
2016-03-16,Houston Rockets,Los Angeles Clippers,106,122,L,regular
2016-03-18,Houston Rockets,Minnesota Timberwolves,116,111,W,regular
2016-03-23,Houston Rockets,Utah Jazz,87,89,L,regular
2016-03-25,Houston Rockets,Toronto Raptors,112,109,W,regular
2016-03-31,Houston Rockets,Chicago Bulls,100,103,L,regular
2016-04-03,Houston Rockets,Oklahoma City Thunder,118,110,W,regular
2016-04-07,Houston Rockets,Phoenix Suns,115,124,L,regular
2016-04-10,Houston Rockets,Los Angeles Lakers,130,110,W,regular
2016-04-13,Houston Rockets,Sacramento Kings,116,81,W,regular
2016-04-21,Houston Rockets,Golden State Warriors,97,96,W,playoffs
2016-04-24,Houston Rockets,Golden State Warriors,94,121,L,playoffs
2016-10-30,Houston Rockets,Dallas Mavericks,93,92,W,regular
2016-11-12,Houston Rockets,San Antonio Spurs,100,106,L,regular
2016-11-14,Houston Rockets,Philadelphia 76ers,115,88,W,regular
2016-11-17,Houston Rockets,Portland Trail Blazers,126,109,W,regular
2016-11-19,Houston Rockets,Utah Jazz,111,102,W,regular
2016-11-23,Houston Rockets,Toronto Raptors,102,115,L,regular
2016-12-05,Houston Rockets,Boston Celtics,107,106,W,regular
2016-12-07,Houston Rockets,Los Angeles Lakers,134,95,W,regular
2016-12-10,Houston Rockets,Dallas Mavericks,109,87,W,regular
2016-12-12,Houston Rockets,Brooklyn Nets,122,118,W,regular
2016-12-14,Houston Rockets,Sacramento Kings,132,98,W,regular
2016-12-16,Houston Rockets,New Orleans Pelicans,122,100,W,regular
2016-12-20,Houston Rockets,San Antonio Spurs,100,102,L,regular
2016-12-26,Houston Rockets,Phoenix Suns,131,115,W,regular
2016-12-30,Houston Rockets,Los Angeles Clippers,140,116,W,regular
2016-12-31,Houston Rockets,New York Knicks,129,122,W,regular
2017-01-02,Houston Rockets,Washington Wizards,101,91,W,regular
2017-01-05,Houston Rockets,Oklahoma City Thunder,118,116,W,regular
2017-01-10,Houston Rockets,Charlotte Hornets,121,114,W,regular
2017-01-13,Houston Rockets,Memphis Grizzlies,105,110,L,regular
2017-01-18,Houston Rockets,Milwaukee Bucks,111,92,W,regular
2017-01-20,Houston Rockets,Golden State Warriors,108,125,L,regular
2017-01-31,Houston Rockets,Sacramento Kings,105,83,W,regular
2017-02-02,Houston Rockets,Atlanta Hawks,108,113,L,regular
2017-02-03,Houston Rockets,Chicago Bulls,121,117,W,regular
2017-02-07,Houston Rockets,Orlando Magic,128,104,W,regular
2017-02-11,Houston Rockets,Phoenix Suns,133,102,W,regular
2017-02-15,Houston Rockets,Miami Heat,109,117,L,regular
2017-02-25,Houston Rockets,Minnesota Timberwolves,142,130,W,regular
2017-02-27,Houston Rockets,Indiana Pacers,108,117,L,regular
